term_original,term_norm,best_domain,top_score,second_score,margin,cluster_id,cluster_confidence,cluster_label
non achololic wine,non achololic wine,food_alcohol,0.6325362,0.4081641,0.22437206,-1,0.0,noise
hard alcohol,hard alcohol,food_alcohol,0.7461504,0.5222955,0.2238549,-1,0.0,noise
Cooked wine,cooked wine,food_alcohol,0.68101096,0.4576528,0.22335815,-1,0.0,noise
non-alcoholic beer,non-alcoholic beer,food_alcohol,0.6524838,0.42982394,0.22265989,-1,0.0,noise
wine x.5,wine x.5,food_alcohol,0.57234305,0.3506877,0.22165534,-1,0.0,noise
no red wine,no red wine,food_alcohol,0.6593587,0.438771,0.22058767,-1,0.0,noise
post alcohol,post alcohol,food_alcohol,0.6678094,0.44747376,0.22033566,-1,0.0,noise
"Alcoholic beverages, beer, higher alcohol","alcoholic beverages, beer, higher alcohol",food_alcohol,0.6451895,0.4251756,0.22001392,-1,0.0,noise
red wine 1 medium ,red wine 1 medium,food_alcohol,0.6478063,0.42839777,0.21940851,-1,0.0,noise
"Alcoholic beverage, wine, table, white","alcoholic beverage, wine, table, white",food_alcohol,0.71465814,0.4955362,0.21912193,-1,0.0,noise
"Alcoholic beverage, wine, table, white, Sauvignon Blanc","alcoholic beverage, wine, table, white, sauvignon blanc",food_alcohol,0.62970793,0.410787,0.21892095,-1,0.0,noise
non alcoholic beer,non alcoholic beer,food_alcohol,0.66475224,0.4465943,0.21815795,-1,0.0,noise
small red wine ,small red wine,food_alcohol,0.66033626,0.44273493,0.21760133,-1,0.0,noise
alcohol free,alcohol free,food_alcohol,0.6396894,0.423323,0.21636638,-1,0.0,noise
"Alcoholic beverage, wine, table, white, Chardonnay","alcoholic beverage, wine, table, white, chardonnay",food_alcohol,0.6840494,0.4681939,0.21585554,-1,0.0,noise
sweet wine,sweet wine,food_alcohol,0.7710632,0.55725515,0.21380806,-1,0.0,noise
alcohol night before,alcohol night before,food_alcohol,0.5867528,0.37454325,0.21220952,-1,0.0,noise
"Alcoholic beverage, beer, light, higher alcohol","alcoholic beverage, beer, light, higher alcohol",food_alcohol,0.65659547,0.44575104,0.21084443,-1,0.0,noise
vodka ,vodka,food_alcohol,0.82004535,0.6095206,0.21052474,-1,0.0,noise
6oz red wine,6oz red wine,food_alcohol,0.64415383,0.43392926,0.21022457,-1,0.0,noise
alcohol shot and sip of bourbon,alcohol shot and sip of bourbon,food_alcohol,0.6182537,0.40835884,0.20989487,-1,0.0,noise
hot wine ,hot wine,food_alcohol,0.73413575,0.5271051,0.20703065,-1,0.0,noise
rose wine,rose wine,food_alcohol,0.67936575,0.47263175,0.206734,-1,0.0,noise
rosé wine,rosé wine,food_alcohol,0.67936575,0.47263175,0.206734,-1,0.0,noise
Whisky/ Whiskey,whisky/ whiskey,food_alcohol,0.6883395,0.481838,0.20650148,-1,0.0,noise
"Alcoholic Beverage, wine, table, red, Burgundy","alcoholic beverage, wine, table, red, burgundy",food_alcohol,0.660627,0.4564836,0.2041434,-1,0.0,noise
alcohol last night,alcohol last night,food_alcohol,0.67558193,0.47172403,0.2038579,-1,0.0,noise
"Alcoholic beverage, wine, table, all","alcoholic beverage, wine, table, all",food_alcohol,0.6911975,0.48852277,0.20267475,-1,0.0,noise
1 x small red wine,1 x small red wine,food_alcohol,0.54843956,0.34618348,0.20225608,-1,0.0,noise
whiskey,whiskey,food_alcohol,0.78974557,0.5883347,0.20141089,-1,0.0,noise
A lot of alcohol,a lot of alcohol,food_alcohol,0.6861823,0.4859723,0.20021003,-1,0.0,noise
"Alcoholic beverage, wine, table, red","alcoholic beverage, wine, table, red",food_alcohol,0.6975883,0.49754936,0.20003897,-1,0.0,noise
alcohol x,alcohol x,food_alcohol,0.71658164,0.5169228,0.19965887,-1,0.0,noise
"Alcoholic beverage, distilled, vodka, 80 proof","alcoholic beverage, distilled, vodka, 80 proof",food_alcohol,0.6552948,0.4564023,0.19889247,-1,0.0,noise
"Alcoholic Beverage, wine, table, red, Claret","alcoholic beverage, wine, table, red, claret",food_alcohol,0.67173123,0.47362733,0.1981039,-1,0.0,noise
alcohol tincture,alcohol tincture,food_alcohol,0.5585338,0.3609622,0.19757158,-1,0.0,noise
alcohol before,alcohol before,food_alcohol,0.64846253,0.45104563,0.1974169,-1,0.0,noise
alcohol gin,alcohol gin,food_alcohol,0.69618917,0.4988521,0.19733706,-1,0.0,noise
"Alcoholic beverage, distilled, all (gin, rum, vodka, whiskey) 80 proof","alcoholic beverage, distilled, all (gin, rum, vodka, whiskey) 80 proof",food_alcohol,0.5977719,0.40094656,0.19682533,-1,0.0,noise
alcoholic beverages,alcoholic beverages,food_alcohol,0.7773683,0.5811651,0.19620323,-1,0.0,noise
"Alcoholic beverage, beer, light","alcoholic beverage, beer, light",food_alcohol,0.6931645,0.4969699,0.19619462,-1,0.0,noise
"Alcoholic beverage, wine, dessert, dry","alcoholic beverage, wine, dessert, dry",food_alcohol,0.6977179,0.50157756,0.19614035,-1,0.0,noise
2 beers,2 beers,food_alcohol,0.65319693,0.45732433,0.1958726,-1,0.0,noise
4 beers,4 beers,food_alcohol,0.6296524,0.4338779,0.1957745,-1,0.0,noise
alcohol 2,alcohol 2,food_alcohol,0.7558912,0.56047386,0.19541734,-1,0.0,noise
9oz red wine,9oz red wine,food_alcohol,0.64386666,0.4486667,0.19519997,-1,0.0,noise
liquorice,liquorice,food_alcohol,0.70661,0.51153934,0.19507068,-1,0.0,noise
red wine large,red wine large,food_alcohol,0.6024343,0.40771043,0.19472384,-1,0.0,noise
Some alcohol,some alcohol,food_alcohol,0.7935407,0.5990536,0.1944871,-1,0.0,noise
"Alcoholic beverage, wine, table, white, Semillon","alcoholic beverage, wine, table, white, semillon",food_alcohol,0.6585603,0.46438867,0.19417161,-1,0.0,noise
cider alcohol,cider alcohol,food_alcohol,0.7006588,0.50674903,0.19390976,-1,0.0,noise
"Alcoholic Beverage, wine, table, red, Pinot Noir","alcoholic beverage, wine, table, red, pinot noir",food_alcohol,0.7100973,0.51619965,0.19389766,-1,0.0,noise
"Alcoholic beverage, whiskey sour","alcoholic beverage, whiskey sour",food_alcohol,0.7377466,0.5442312,0.19351542,-1,0.0,noise
alcohol x 3,alcohol x 3,food_alcohol,0.6768316,0.48349696,0.19333464,-1,0.0,noise
Little bit of alcohol,little bit of alcohol,food_alcohol,0.6329236,0.4396751,0.19324851,-1,0.0,noise
"Alcoholic beverage, beer, light, BUD LIGHT","alcoholic beverage, beer, light, bud light",food_alcohol,0.66181415,0.46858913,0.19322503,-1,0.0,noise
vodka drinks,vodka drinks,food_alcohol,0.7531624,0.560246,0.1929164,-1,0.0,noise
3 beers,3 beers,food_alcohol,0.6482059,0.45562094,0.19258493,-1,0.0,noise
"Alcoholic beverage, distilled, rum, 80 proof","alcoholic beverage, distilled, rum, 80 proof",food_alcohol,0.6422739,0.45077503,0.19149888,-1,0.0,noise
wine - few sips,wine - few sips,food_alcohol,0.64775586,0.45628953,0.19146633,-1,0.0,noise
a beer,a beer,food_alcohol,0.7241901,0.5348447,0.18934542,-1,0.0,noise
5 beers,5 beers,food_alcohol,0.62348366,0.43432778,0.18915588,-1,0.0,noise
"Malt beverage, includes non-alcoholic beer","malt beverage, includes non-alcoholic beer",food_alcohol,0.5742092,0.3852445,0.18896472,-1,0.0,noise
bourbon,bourbon,food_alcohol,0.7242482,0.53610456,0.18814361,-1,0.0,noise
"Alcoholic beverage, distilled, all (gin, rum, vodka, whiskey) 100 proof","alcoholic beverage, distilled, all (gin, rum, vodka, whiskey) 100 proof",food_alcohol,0.57555306,0.38791183,0.18764123,-1,0.0,noise
rum drink,rum drink,food_alcohol,0.7632566,0.57597744,0.18727916,-1,0.0,noise
alcohol x 1,alcohol x 1,food_alcohol,0.6588757,0.47209823,0.18677747,-1,0.0,noise
champagne,champagne,food_alcohol,0.77925897,0.59272873,0.18653023,-1,0.0,noise
vodka cocktail x 2,vodka cocktail x 2,food_alcohol,0.66961396,0.48347667,0.18613729,-1,0.0,noise
sm. sip of white wine. ,sm. sip of white wine,food_alcohol,0.6841029,0.49797088,0.18613201,-1,0.0,noise
"Alcoholic beverage, distilled, all (gin, rum, vodka, whiskey) 86 proof","alcoholic beverage, distilled, all (gin, rum, vodka, whiskey) 86 proof",food_alcohol,0.5715351,0.3856854,0.1858497,-1,0.0,noise
1 beer,1 beer,food_alcohol,0.64612603,0.46041447,0.18571156,-1,0.0,noise
mixed alcohol drink,mixed alcohol drink,food_alcohol,0.6935644,0.5078993,0.18566513,-1,0.0,noise
"Alcoholic beverage, distilled, all (gin, rum, vodka, whiskey) 90 proof","alcoholic beverage, distilled, all (gin, rum, vodka, whiskey) 90 proof",food_alcohol,0.5926968,0.4073422,0.18535459,-1,0.0,noise
beer,beer,food_alcohol,0.8025644,0.6175287,0.1850357,-1,0.0,noise
rum,rum,food_alcohol,0.7488845,0.5643569,0.18452758,-1,0.0,noise
"Alcoholic beverage, distilled, whiskey, 86 proof","alcoholic beverage, distilled, whiskey, 86 proof",food_alcohol,0.62456703,0.440683,0.18388402,-1,0.0,noise
no alcohol,no alcohol,food_alcohol,0.7039226,0.5208015,0.18312114,-1,0.0,noise
sutter home sweet red wine,sutter home sweet red wine,food_alcohol,0.6427071,0.45974445,0.18296266,-1,0.0,noise
"Alcoholic beverage, wine, table, white, Riesling","alcoholic beverage, wine, table, white, riesling",food_alcohol,0.682212,0.49984574,0.18236625,-1,0.0,noise
"Alcoholic beverage, beer, regular, BUDWEISER","alcoholic beverage, beer, regular, budweiser",food_alcohol,0.64225304,0.46016914,0.1820839,-1,0.0,noise
"Alcoholic Beverage, wine, table, red, Carignane","alcoholic beverage, wine, table, red, carignane",food_alcohol,0.65447485,0.47249812,0.18197674,-1,0.0,noise
"Alcoholic beverage, wine, table, white, Muscat","alcoholic beverage, wine, table, white, muscat",food_alcohol,0.657986,0.47664523,0.18134075,-1,0.0,noise
tiny wine,tiny wine,food_alcohol,0.6338267,0.45313054,0.18069613,-1,0.0,noise
"Alcoholic beverage, wine, table, white, Gewurztraminer","alcoholic beverage, wine, table, white, gewurztraminer",food_alcohol,0.68276525,0.5021873,0.18057793,-1,0.0,noise
wine cooler,wine cooler,food_alcohol,0.60573685,0.4251982,0.18053865,-1,0.0,noise
straight vodka,straight vodka,food_alcohol,0.6914879,0.5112932,0.18019474,-1,0.0,noise
"Alcoholic beverage, wine, dessert, sweet","alcoholic beverage, wine, dessert, sweet",food_alcohol,0.7034836,0.52353,0.17995358,-1,0.0,noise
"Alcoholic Beverage, wine, table, red, Lemberger","alcoholic beverage, wine, table, red, lemberger",food_alcohol,0.66530573,0.48592412,0.17938161,-1,0.0,noise
2 whiskey,2 whiskey,food_alcohol,0.63995695,0.46094155,0.1790154,-1,0.0,noise
alcohol x1,alcohol x1,food_alcohol,0.6389447,0.46110374,0.17784095,-1,0.0,noise
"Alcoholic Beverage, wine, table, red, Merlot","alcoholic beverage, wine, table, red, merlot",food_alcohol,0.65686715,0.4794081,0.17745906,-1,0.0,noise
whisky,whisky,food_alcohol,0.7635685,0.5870415,0.17652702,-1,0.0,noise
one beer,one beer,food_alcohol,0.63080966,0.45474213,0.17606753,-1,0.0,noise
2 beer,2 beer,food_alcohol,0.65321696,0.4774503,0.17576665,-1,0.0,noise
wine white zinfandel ,wine white zinfandel,food_alcohol,0.5603315,0.38479498,0.17553654,-1,0.0,noise
alcoholic beverage,alcoholic beverage,food_alcohol,0.7963253,0.6218353,0.17449003,-1,0.0,noise
Hahn Light beer,hahn light beer,food_alcohol,0.53981054,0.365558,0.17425254,-1,0.0,noise
"Alcoholic beverage, wine, table, white, Muller Thurgau","alcoholic beverage, wine, table, white, muller thurgau",food_alcohol,0.6466119,0.4727404,0.17387152,-1,0.0,noise
1 1/2 beers,1 1/2 beers,food_alcohol,0.5031195,0.32975972,0.17335981,-1,0.0,noise
"Alcoholic Beverage, wine, table, red, Mouvedre","alcoholic beverage, wine, table, red, mouvedre",food_alcohol,0.6681862,0.4951786,0.17300758,-1,0.0,noise
alcohol x3,alcohol x3,food_alcohol,0.65633094,0.48339468,0.17293626,-1,0.0,noise
"Alcoholic Beverage, wine, table, red, Syrah","alcoholic beverage, wine, table, red, syrah",food_alcohol,0.6511786,0.4784459,0.17273271,-1,0.0,noise
"Alcoholic Beverage, wine, table, red, Zinfandel","alcoholic beverage, wine, table, red, zinfandel",food_alcohol,0.65065134,0.47874326,0.17190808,-1,0.0,noise
penne al vodka ,penne al vodka,food_alcohol,0.62055504,0.44873607,0.17181897,-1,0.0,noise
alcohol x2 ,alcohol x2,food_alcohol,0.6520214,0.48043698,0.17158443,-1,0.0,noise
"Alcoholic beverage, wine, table, white, late harvest, Gewurztraminer","alcoholic beverage, wine, table, white, late harvest, gewurztraminer",food_alcohol,0.6432508,0.47179756,0.17145327,-1,0.0,noise
vodka shot,vodka shot,food_alcohol,0.63254416,0.46154043,0.17100373,-1,0.0,noise
Vanilla wine,vanilla wine,food_alcohol,0.7369063,0.5663507,0.17055559,-1,0.0,noise
alcohol free gin and tonic,alcohol free gin and tonic,food_alcohol,0.5414517,0.37093675,0.17051494,-1,0.0,noise
"Alcoholic Beverage, wine, table, red, Sangiovese","alcoholic beverage, wine, table, red, sangiovese",food_alcohol,0.6349715,0.46514964,0.16982186,-1,0.0,noise
vodka grapefruit juice,vodka grapefruit juice,food_alcohol,0.61722594,0.44754696,0.16967899,-1,0.0,noise
tequila,tequila,food_alcohol,0.69941896,0.5312921,0.16812688,-1,0.0,noise
Alcoholic apple cider,alcoholic apple cider,food_alcohol,0.58511806,0.4172076,0.16791046,-1,0.0,noise
vodka and lemonade,vodka and lemonade,food_alcohol,0.7237738,0.55637294,0.16740084,-1,0.0,noise
beer battered,beer battered,food_alcohol,0.61837876,0.45270464,0.16567412,-1,0.0,noise
"Alcoholic beverage, beer, light, BUDWEISER SELECT","alcoholic beverage, beer, light, budweiser select",food_alcohol,0.633147,0.46905267,0.16409433,-1,0.0,noise
wine slushee,wine slushee,food_alcohol,0.66148424,0.49771684,0.1637674,-1,0.0,noise
"Alcoholic beverage, wine, table, white, Chenin Blanc","alcoholic beverage, wine, table, white, chenin blanc",food_alcohol,0.6590679,0.49541843,0.1636495,-1,0.0,noise
"Alcoholic Beverage, wine, table, red, Cabernet Franc","alcoholic beverage, wine, table, red, cabernet franc",food_alcohol,0.619784,0.45666528,0.16311872,-1,0.0,noise
Beer 6,beer 6,food_alcohol,0.66591513,0.5044076,0.16150755,-1,0.0,noise
rye whiskey,rye whiskey,food_alcohol,0.676968,0.5159278,0.16104019,-1,0.0,noise
wine gums,wine gums,food_alcohol,0.6544945,0.49402815,0.16046637,-1,0.0,noise
"Alcoholic beverage, whiskey sour, canned","alcoholic beverage, whiskey sour, canned",food_alcohol,0.67786896,0.51783025,0.16003871,-1,0.0,noise
bourbons,bourbons,food_alcohol,0.63925767,0.47953564,0.15972203,-1,0.0,noise
cocktails,cocktails,food_alcohol,0.71672237,0.5574151,0.15930724,-1,0.0,noise
Beer 2,beer 2,food_alcohol,0.70163846,0.5423912,0.15924728,-1,0.0,noise
Alcohol brown,alcohol brown,food_alcohol,0.6497199,0.49084377,0.15887612,-1,0.0,noise
"Beverages, Malt liquor beverage","beverages, malt liquor beverage",food_alcohol,0.6840472,0.5253217,0.1587255,-1,0.0,noise
"Alcoholic beverage, whiskey sour, prepared with water, whiskey and powder mix","alcoholic beverage, whiskey sour, prepared with water, whiskey and powder mix",food_alcohol,0.6478245,0.4914143,0.15641022,-1,0.0,noise
>3 alcoholic drinks ,3 alcoholic drinks,food_alcohol,0.66328984,0.50804347,0.15524638,-1,0.0,noise
beer ipa,beer ipa,food_alcohol,0.6806987,0.52556247,0.15513623,-1,0.0,noise
Barqs root beer,barqs root beer,food_alcohol,0.5354611,0.38095674,0.15450439,-1,0.0,noise
2/3 bottle champagne,2/3 bottle champagne,food_alcohol,0.5513298,0.39739627,0.15393353,-1,0.0,noise
2 x beers,2 x beers,food_alcohol,0.52387565,0.37004054,0.15383512,-1,0.0,noise
root beer,root beer,food_alcohol,0.6369318,0.48324364,0.15368813,-1,0.0,noise
half a beer,half a beer,food_alcohol,0.5728401,0.41980118,0.15303892,-1,0.0,noise
sparkling wine,sparkling wine,food_alcohol,0.7277227,0.5759826,0.15174013,-1,0.0,noise
"Alcoholic beverage, malt beer, hard lemonade","alcoholic beverage, malt beer, hard lemonade",food_alcohol,0.6749718,0.5241864,0.15078545,-1,0.0,noise
"Alcoholic Beverage, wine, table, red, Barbera","alcoholic beverage, wine, table, red, barbera",food_alcohol,0.6463357,0.49675333,0.14958239,-1,0.0,noise
"Alcoholic beverage, wine, table, white, Fume Blanc","alcoholic beverage, wine, table, white, fume blanc",food_alcohol,0.64421976,0.49555403,0.14866573,-1,0.0,noise
gin cocktails ,gin cocktails,food_alcohol,0.6210034,0.47258374,0.14841965,-1,0.0,noise
"Alcoholic beverage, distilled, gin, 90 proof","alcoholic beverage, distilled, gin, 90 proof",food_alcohol,0.61132365,0.4632135,0.14811015,-1,0.0,noise
rum 2 oz,rum 2 oz,food_alcohol,0.63740444,0.48955125,0.1478532,-1,0.0,noise
acholol free beer,acholol free beer,food_alcohol,0.5657253,0.41799852,0.1477268,-1,0.0,noise
booze,booze,food_alcohol,0.7135127,0.5664165,0.14709622,-1,0.0,noise
communion wafer and wine,communion wafer and wine,food_alcohol,0.48349497,0.3364364,0.14705858,-1,0.0,noise
vodka sause,vodka sause,food_alcohol,0.6251163,0.4781391,0.14697719,-1,0.0,noise
dark beer,dark beer,food_alcohol,0.70489,0.55865955,0.14623046,-1,0.0,noise
beer/mixed drink,beer/mixed drink,food_alcohol,0.70193243,0.55581033,0.1461221,-1,0.0,noise
1 can of beer,1 can of beer,food_alcohol,0.48558265,0.33954147,0.14604118,-1,0.0,noise
irish cocktail,irish cocktail,food_alcohol,0.65786946,0.51321083,0.14465863,-1,0.0,noise
"Alcoholic Beverage, wine, table, red, Gamay","alcoholic beverage, wine, table, red, gamay",food_alcohol,0.65247273,0.50927556,0.14319718,-1,0.0,noise
whisky sour,whisky sour,food_alcohol,0.6881292,0.5458609,0.1422683,-1,0.0,noise
cocktail,cocktail,food_alcohol,0.7656548,0.6246518,0.14100301,-1,0.0,noise
Vodka and Orange Juice,vodka and orange juice,food_alcohol,0.69146013,0.55113846,0.14032167,-1,0.0,noise
gf beer,gf beer,food_alcohol,0.6037836,0.46575016,0.13803345,-1,0.0,noise
choya wine,choya wine,food_alcohol,0.6044593,0.46791345,0.13654584,-1,0.0,noise
some sparkling wine,some sparkling wine,food_alcohol,0.73513985,0.59930754,0.13583231,-1,0.0,noise
3 cocktails,3 cocktails,food_alcohol,0.60809946,0.47247666,0.1356228,-1,0.0,noise
vodka orange,vodka orange,food_alcohol,0.685583,0.5510349,0.13454807,-1,0.0,noise
gin martinis,gin martinis,food_alcohol,0.62564456,0.49190587,0.1337387,-1,0.0,noise
cocktail weiner,cocktail weiner,food_alcohol,0.6149214,0.4820577,0.1328637,-1,0.0,noise
whiskey sour,whiskey sour,food_alcohol,0.69320476,0.56081885,0.13238591,-1,0.0,noise
12 oz root beer,12 oz root beer,food_alcohol,0.47144592,0.34064046,0.13080546,-1,0.0,noise
dessert wine,dessert wine,food_alcohol,0.6645982,0.5349209,0.12967736,-1,0.0,noise
scotch,scotch,food_alcohol,0.6896648,0.5604356,0.12922919,-1,0.0,noise
"Alcoholic Beverage, wine, table, red, Petite Sirah","alcoholic beverage, wine, table, red, petite sirah",food_alcohol,0.6393639,0.5106246,0.1287393,-1,0.0,noise
"Alcoholic beverage, wine, table, white, Pinot Gris (Grigio)","alcoholic beverage, wine, table, white, pinot gris (grigio",food_alcohol,0.6301273,0.5015142,0.12861311,-1,0.0,noise
2 sips of beer ,2 sips of beer,food_alcohol,0.5483372,0.4197303,0.12860692,-1,0.0,noise
tequila shot,tequila shot,food_alcohol,0.6091701,0.4816543,0.1275158,-1,0.0,noise
alkohol,alkohol,food_alcohol,0.6058061,0.47868446,0.12712166,-1,0.0,noise
blue bourbon dinner,blue bourbon dinner,food_alcohol,0.54874086,0.42192373,0.12681714,-1,0.0,noise
cocktail frank,cocktail frank,food_alcohol,0.60204244,0.47522703,0.12681541,-1,0.0,noise
1 x beer,1 x beer,food_alcohol,0.53371906,0.40791953,0.12579954,-1,0.0,noise
"Beverages, AMBER, hard cider","beverages, amber, hard cider",food_alcohol,0.62014234,0.49483484,0.1253075,-1,0.0,noise
1/4 sandwich  glass wine,1/4 sandwich glass wine,food_alcohol,0.48168036,0.35715374,0.12452662,-1,0.0,noise
martinis,martinis,food_alcohol,0.62688327,0.50392395,0.122959316,-1,0.0,noise
jack Daniels honey whiskey,jack daniels honey whiskey,food_alcohol,0.65006596,0.5289992,0.12106675,-1,0.0,noise
Rumplemintz 1 glass,rumplemintz 1 glass,food_alcohol,0.5199715,0.39900064,0.120970845,-1,0.0,noise
bicardi rum,bicardi rum,food_alcohol,0.55562824,0.43520895,0.12041929,-1,0.0,noise
star wars alcohol drink,star wars alcohol drink,food_alcohol,0.6032796,0.4836958,0.119583786,-1,0.0,noise
hyvee root beer,hyvee root beer,food_alcohol,0.5418262,0.42226702,0.11955917,-1,0.0,noise
beer x6,beer x6,food_alcohol,0.6199491,0.50134593,0.11860317,-1,0.0,noise
"Alcoholic beverage, creme de menthe, 72 proof","alcoholic beverage, creme de menthe, 72 proof",food_alcohol,0.53722274,0.4186946,0.11852816,-1,0.0,noise
craft ale,craft ale,food_alcohol,0.6627524,0.5454634,0.11728901,-1,0.0,noise
Liquor brown ,liquor brown,food_alcohol,0.67518413,0.5585631,0.11662102,-1,0.0,noise
beerroot,beerroot,food_alcohol,0.5488872,0.43348593,0.11540127,-1,0.0,noise
pink champagne split,pink champagne split,food_alcohol,0.5006357,0.38550472,0.11513096,-1,0.0,noise
beer x 1,beer x 1,food_alcohol,0.60362244,0.48883158,0.11479086,-1,0.0,noise
beer x 2,beer x 2,food_alcohol,0.61871415,0.5039616,0.11475253,-1,0.0,noise
mini beer,mini beer,food_alcohol,0.60826486,0.49442774,0.11383712,-1,0.0,noise
whisky beef,whisky beef,food_alcohol,0.6334711,0.51973194,0.11373913,-1,0.0,noise
giner ale,giner ale,food_alcohol,0.6462978,0.5334288,0.112869024,-1,0.0,noise
belgian beer,belgian beer,food_alcohol,0.626953,0.5146781,0.112274885,-1,0.0,noise
beer x 5,beer x 5,food_alcohol,0.6010505,0.48890537,0.112145126,-1,0.0,noise
