term_original,best_domain
Inflammatory Autoimmune Disease ,autoimmune_connective
Discoid Lupus,autoimmune_connective
Soft Tissue Autoimmune Disease,autoimmune_connective
systemic lupus erythematosus,autoimmune_connective
Autoimmune Autonomic Gang,autoimmune_connective
Pyoderma gangrenosum,autoimmune_connective
Fahrs Disease,autoimmune_connective
Behcet’s Disease,autoimmune_connective
systematic lupus,autoimmune_connective
Lupus,autoimmune_connective
mixed connective tissue disorder,autoimmune_connective
si inflammation,autoimmune_connective
Undifferentiated Connective Tissue Disorder,autoimmune_connective
systematic lupus erythatosus,autoimmune_connective
Chrons disease,autoimmune_connective
lymphodemopathy,autoimmune_connective
polymyopathy,autoimmune_connective
autoimmune stomatits,autoimmune_connective
autoimmune connective tissue ,autoimmune_connective
NeuroBehcets disease ,autoimmune_connective
lupus flair,autoimmune_connective
autoimmun,autoimmune_connective
autoimmune cholangitis,autoimmune_connective
chron’s disease,autoimmune_connective
Connective tissue disorder,autoimmune_connective
possible lupus,autoimmune_connective
myositis,autoimmune_connective
hypovitaminosis D,autoimmune_connective
autoimmune atrophic gastritis,autoimmune_connective
Autoimmune illness,autoimmune_connective
Inflammatory Autoimmune Disorder,autoimmune_connective
mixed connective tissue disease with overlap,autoimmune_connective
autoimune disease,autoimmune_connective
Autoimmune,autoimmune_connective
autoinflammatory disease,autoimmune_connective
facet joint disease,autoimmune_connective
Behcet’s Syndrome,autoimmune_connective
autoimmune disorder,autoimmune_connective
Mixed Connective Tidsue Disease,autoimmune_connective
Mixed connective tissue disease,autoimmune_connective
Autoimmune disease,autoimmune_connective
sjorgrens,autoimmune_rheumatologic
Stickler syndrome,autoimmune_rheumatologic
Central Nervous System Vasculitis,autoimmune_rheumatologic
Systemic Scleroderma,autoimmune_rheumatologic
SLE,autoimmune_rheumatologic
Sjögren's syndrome,autoimmune_rheumatologic
Lichen sclerosis,autoimmune_rheumatologic
linear scleroderma,autoimmune_rheumatologic
Sjögrens ,autoimmune_rheumatologic
Focal segmental glomerulosclerosis,autoimmune_rheumatologic
System Scleroderma,autoimmune_rheumatologic
Vasculitis,autoimmune_rheumatologic
Limited scleroderma (CREST syndrome),autoimmune_rheumatologic
Scleroderma,autoimmune_rheumatologic
Sjogrens,autoimmune_rheumatologic
Tuberous sclerosis,autoimmune_rheumatologic
vasculitis abdomen,autoimmune_rheumatologic
Sjogren's syndrome,autoimmune_rheumatologic
Sjogren’s Syndrome,autoimmune_rheumatologic
Sjogren's,autoimmune_rheumatologic
Leikens Sclerosis,autoimmune_rheumatologic
systemic sclerosis,autoimmune_rheumatologic
scleritis,autoimmune_rheumatologic
sjogren,autoimmune_rheumatologic
Lichen sclerosus,autoimmune_rheumatologic
posterior scleritis,autoimmune_rheumatologic
sjogrens syndrome,autoimmune_rheumatologic
Hemorrhagic vasculitis,autoimmune_rheumatologic
Sjrogrens,autoimmune_rheumatologic
scolosis,autoimmune_rheumatologic
limited scleroderma,autoimmune_rheumatologic
anterior scleritis,autoimmune_rheumatologic
back ache,back_spine_pain
lumbar spine pain,back_spine_pain
Back Pain Last Night,back_spine_pain
back pain and joint pain,back_spine_pain
backache,back_spine_pain
Low back and hip pain,back_spine_pain
Thoracic Spine Injury,back_spine_pain
body pain even when laying down in most comfortable position,back_spine_pain
Right side back pain,back_spine_pain
Lumbar Radiculitis,back_spine_pain
Lumbar Spinal Pain,back_spine_pain
Failed Back Surgery Syndrome,back_spine_pain
upper right back pain,back_spine_pain
lower back Left,back_spine_pain
Sciatica Lower Leg Pain,back_spine_pain
bàck pain,back_spine_pain
Back and Hip pain,back_spine_pain
back and rib pain,back_spine_pain
lower back pain left,back_spine_pain
lower rib pain left side,back_spine_pain
sciatic pain,back_spine_pain
SCIATICA (pain in the ASS),back_spine_pain
Back and neck pain,back_spine_pain
mid back pain or spasm,back_spine_pain
lumbar pain,back_spine_pain
Low Back,back_spine_pain
stiff upper back,back_spine_pain
Segmental Dysfunction of Thoratic Region,back_spine_pain
lumbar back pain,back_spine_pain
Back/Neck Pain,back_spine_pain
sciatica arms,back_spine_pain
Spinal stenosis,back_spine_pain
Low Back Pain (L4-S1 approx),back_spine_pain
Sciatica - Left,back_spine_pain
Upper Back Pain,back_spine_pain
mid back pain,back_spine_pain
Epigastric Pain,back_spine_pain
upper back stiffness,back_spine_pain
lower back,back_spine_pain
Lower Back (right side),back_spine_pain
upper back tingling,back_spine_pain
lumbar stenosis ,back_spine_pain
thoracic spine pain,back_spine_pain
spinal pain,back_spine_pain
Low back pain,back_spine_pain
ruptured lumbar disc,back_spine_pain
alternating sciatic numbness and pain,back_spine_pain
middle back pain,back_spine_pain
back pain left,back_spine_pain
flat back,back_spine_pain
Lower back pain,back_spine_pain
left low back pain,back_spine_pain
bottom of neck/back pain,back_spine_pain
Spinal Myoclonus,back_spine_pain
right low back pain,back_spine_pain
Back spasm,back_spine_pain
tight lower back,back_spine_pain
upper back stiff,back_spine_pain
spinal infection,back_spine_pain
"pain and stiffness in back, buttocks and neck",back_spine_pain
Back pain,back_spine_pain
shooting back pain,back_spine_pain
Back Pain - Lower,back_spine_pain
neck back pain,back_spine_pain
lower back pain left side,back_spine_pain
stiff mid back pain,back_spine_pain
center low concentrated back pain,back_spine_pain
Lower Back Stiffness,back_spine_pain
back muscle,back_spine_pain
back pain - erector spinae,back_spine_pain
Severe rib and spinal dysfunction,back_spine_pain
pain in lower back and hips,back_spine_pain
upper back muscle spasm,back_spine_pain
Hip/Lower Back Pain,back_spine_pain
spasms/ back,back_spine_pain
Lateral Back Muscle Pain,back_spine_pain
Thoracic Back pain,back_spine_pain
Mid Back Muscle Ache,back_spine_pain
back pain right,back_spine_pain
Lumbrosacral Spinal Stenosis ,back_spine_pain
chronic lower back pain,back_spine_pain
Spine Pain,back_spine_pain
Hiatal Hernia Pain,back_spine_pain
Sore back,back_spine_pain
sharp pain in middle of back,back_spine_pain
upper left back pain,back_spine_pain
back spasms,back_spine_pain
pain in back,back_spine_pain
Inflammatory back pain,back_spine_pain
Sciatica,back_spine_pain
hernia pain,back_spine_pain
upper back pa,back_spine_pain
Chronic Back pain,back_spine_pain
lower right back pain,back_spine_pain
sciatica left leg,back_spine_pain
midback pain,back_spine_pain
back pain from radiating abdominal pain ,back_spine_pain
Radicular low back pain,back_spine_pain
Lower Back/Right Leg Pain,back_spine_pain
cervical pain,back_spine_pain
mid-back pain,back_spine_pain
back strength ,back_spine_pain
sore right back,back_spine_pain
Lumbar Pain (post-surgical) ,back_spine_pain
back pain right side ,back_spine_pain
Sciatica Left,back_spine_pain
spinal myelitis,back_spine_pain
low back strain,back_spine_pain
back stiffness,back_spine_pain
Spinal cord injury,back_spine_pain
sciatic,back_spine_pain
Osteoarthritis of lower back,back_spine_pain
lumbar radiculopathy,back_spine_pain
bad back ,back_spine_pain
middle of back pain,back_spine_pain
upper back pain (between shoulders),back_spine_pain
Sciatica Right Side,back_spine_pain
Lordisis/Back Pain,back_spine_pain
chronic  thoracic back pain,back_spine_pain
neck and back pain ,back_spine_pain
back trigger pain,back_spine_pain
spinal problems,back_spine_pain
chronic upper back pain ,back_spine_pain
Back Muscle aches,back_spine_pain
leg/back pain,back_spine_pain
Back pain at worst,back_spine_pain
middle back stiffness,back_spine_pain
c-spine pain,back_spine_pain
Old lumbar disc injury,back_spine_pain
pelvis pain and sciatica,back_spine_pain
back pain low back / sciatica,back_spine_pain
Joint and/or Back Pain,back_spine_pain
left back pain,back_spine_pain
bi-lateral sciatica,back_spine_pain
lower rib pain,back_spine_pain
mild back pain,back_spine_pain
morning back pain ,back_spine_pain
Chronic mid back pain,back_spine_pain
hip/back/leg pain,back_spine_pain
Failed Back Syndrome,back_spine_pain
sciatica right,back_spine_pain
back problems,back_spine_pain
Tramatic Brain Injury,back_spine_pain
upper spine toraxic pain,back_spine_pain
back and joint pain,back_spine_pain
Lower Back Ache,back_spine_pain
neck and upper back pain,back_spine_pain
cervical spine pain,back_spine_pain
neck spine pain,back_spine_pain
Upper Spine Pain,back_spine_pain
back/hip pain,back_spine_pain
low back thing,back_spine_pain
Lower Back Pain Right Side,back_spine_pain
hip and back pain,back_spine_pain
back pain middle,back_spine_pain
upper back tightness,back_spine_pain
incomplete spinal cord injury,back_spine_pain
Sciatica Left Side,back_spine_pain
lower back ach/pain,back_spine_pain
"back pain, lower",back_spine_pain
Mechanical Back Pain,back_spine_pain
Back pain lower,back_spine_pain
chronic middle back pain,back_spine_pain
burning sensation middle left side of back,back_spine_pain
upper back,back_spine_pain
low left back pain,back_spine_pain
Back Pain - Upper,back_spine_pain
Lower Back Spasms,back_spine_pain
back pain left side ,back_spine_pain
bi polar 2,bipolar_spectrum
Rapid-Cycling Mixed Bipolar Disorder,bipolar_spectrum
Bipolar 2 disorder ,bipolar_spectrum
irritability - bipolar,bipolar_spectrum
Bipolar type 2,bipolar_spectrum
Bipolar 2 Depression,bipolar_spectrum
Bipolar,bipolar_spectrum
Bipolar type II,bipolar_spectrum
Bipolar 1,bipolar_spectrum
Mania,bipolar_spectrum
Bipolar Flare Up,bipolar_spectrum
Bipolar High,bipolar_spectrum
Bipolar Type 1,bipolar_spectrum
bi-polar ,bipolar_spectrum
Bipolar-Type,bipolar_spectrum
Bipolar Disorder - mania,bipolar_spectrum
bipolar personality disorder,bipolar_spectrum
Bipolar 2 ,bipolar_spectrum
manic,bipolar_spectrum
bipolar mixed episode,bipolar_spectrum
Bi Polar,bipolar_spectrum
Bipolar disorder,bipolar_spectrum
ultra ultra ultra rapid cycling bipolar disorder,bipolar_spectrum
bipolar schizoaffective type,bipolar_spectrum
Bipolar 2 Hypomania,bipolar_spectrum
Hypertensive LES,bp_hypertension_hypotension
intracranial hypertension,bp_hypertension_hypotension
hypertension (Above 120/80),bp_hypertension_hypotension
low blood pressure,bp_hypertension_hypotension
pressure eyes,bp_hypertension_hypotension
neural mediated hypotension,bp_hypertension_hypotension
Water Retension,bp_hypertension_hypotension
high blood preasure,bp_hypertension_hypotension
Hypertensive,bp_hypertension_hypotension
intercranial hypertension,bp_hypertension_hypotension
intercranial idopathic hypertension,bp_hypertension_hypotension
Intracranial Hypertensio ,bp_hypertension_hypotension
Ear Pressure,bp_hypertension_hypotension
Low blood pressure (hypotension),bp_hypertension_hypotension
blood pressure,bp_hypertension_hypotension
High bloodpressure,bp_hypertension_hypotension
eye pressure,bp_hypertension_hypotension
High blood pressure,bp_hypertension_hypotension
Prehypertension,bp_hypertension_hypotension
intracranical hypertension,bp_hypertension_hypotension
hypertension,bp_hypertension_hypotension
pre hypertension,bp_hypertension_hypotension
low sodium,bp_hypertension_hypotension
Secondary hypertension,bp_hypertension_hypotension
ocular hypertension,bp_hypertension_hypotension
Hypotension,bp_hypertension_hypotension
neurally mediated hypotension,bp_hypertension_hypotension
high,bp_hypertension_hypotension
High blood pressure (hypertension),bp_hypertension_hypotension
Low blood pressure side-effects,bp_hypertension_hypotension
muscular hypertension ,bp_hypertension_hypotension
intercranial hypotension,bp_hypertension_hypotension
portal hypertension ,bp_hypertension_hypotension
chest discomfort,cardiac_other
Heart burn,cardiac_other
Aortic valve disease,cardiac_other
Congenital heart defects,cardiac_other
Mitral valve disease,cardiac_other
coronary artery spasms,cardiac_other
Right chest pain,cardiac_other
tight chest pain,cardiac_other
ChestPain & Shortness of Breath,cardiac_other
Congenital heart disease,cardiac_other
chest pain/discomfort,cardiac_other
chest ,cardiac_other
Atypical chest pain,cardiac_other
ventricle septal defect,cardiac_other
Angina,cardiac_other
Dilated cardiomyopathy,cardiac_other
Chest infection,cardiac_other
Aortic valve stenosis,cardiac_other
sharp Chest Pain,cardiac_other
burning chest,cardiac_other
Heart,cardiac_other
Rib Dysfunction,cardiac_other
Hypertrophic cardiomyopathy,cardiac_other
Congestive Heart Failure,cardiac_other
Sharp Pain Heart ,cardiac_other
rib tightness,cardiac_other
weighted down chest feeling ,cardiac_other
chest wall pain,cardiac_other
red chest related to palms,cardiac_other
Chestwall syndrome,cardiac_other
tight chest,cardiac_other
cardiac issues,cardiac_other
Heart valve disease,cardiac_other
chronic pericarditis,cardiac_other
chest cold,cardiac_other
Myocardial ischemia,cardiac_other
chest/heart pain,cardiac_other
Heart Attack Feeling,cardiac_other
Heart Issues,cardiac_other
Heart disease,cardiac_other
chest shivering,cardiac_other
cardiovascular,cardiac_other
Hypoplastic left heart syndrome,cardiac_other
chest heaviness,cardiac_other
Chest pain,cardiac_other
cardiac artery disease ,cardiac_other
Thoracic aortic aneurysm,cardiac_other
heart fail,cardiac_other
Upper chest pain squeezing,cardiac_other
Chest pressure,cardiac_other
Left chest pain ,cardiac_other
CMVD Chest pain,cardiac_other
Cardiomyopathy,cardiac_other
Heart failure,cardiac_other
chest tightness,cardiac_other
Myocarditis,cardiac_other
Pericarditis,cardiac_other
cranky heart,cardiac_other
boobs chest hurt ,cardiac_other
Enlarged heart,cardiac_other
Coronary artery disease,cardiac_other
chest pressure/weight on chest,cardiac_other
Broken heart syndrome,cardiac_other
Tightness in chest,cardiac_other
Chest Issues,cardiac_other
chest conjestion,cardiac_other
chest congestion,cardiac_other
Pericardial effusion,cardiac_other
chest pain left side,cardiac_other
coronary artery spasm,cardiac_other
Ischemic heart disease,cardiac_other
chest pain / claustrophobic ,cardiac_other
Ventricular septal defect,cardiac_other
heart pain,cardiac_other
Pain in Chest,cardiac_other
Aortic Stenosis,cardiac_other
chest/breathing,cardiac_other
chest pain. short sharp pain. almost cramp like,cardiac_other
chest and arm pain ,cardiac_other
AFib,cardiovascular_arrhythmia
pulsing ears,cardiovascular_arrhythmia
high heartrate,cardiovascular_arrhythmia
fast resting heart beat ,cardiovascular_arrhythmia
Rapid Heart Rate,cardiovascular_arrhythmia
premature atrial con,cardiovascular_arrhythmia
rapid heart ,cardiovascular_arrhythmia
Heart arrhythmias,cardiovascular_arrhythmia
Sinus tachycardia,cardiovascular_arrhythmia
Bradycardia,cardiovascular_arrhythmia
Ventricular fibrillation,cardiovascular_arrhythmia
atrial tachycardia,cardiovascular_arrhythmia
heart rate,cardiovascular_arrhythmia
Innapropiate Sinus Tachycardia,cardiovascular_arrhythmia
Heart flutters,cardiovascular_arrhythmia
increased heart rate,cardiovascular_arrhythmia
high heart rate,cardiovascular_arrhythmia
ectopic heartbeats,cardiovascular_arrhythmia
Atrial fibrillation,cardiovascular_arrhythmia
Premature atrial contractions (PACs),cardiovascular_arrhythmia
Paroxysmal Atrial Fibrillation,cardiovascular_arrhythmia
heartbeat in ear,cardiovascular_arrhythmia
non substainable ventricular tachycardia ,cardiovascular_arrhythmia
irregular heart rate,cardiovascular_arrhythmia
Rapid heartbeat,cardiovascular_arrhythmia
Ventricular tachycardia,cardiovascular_arrhythmia
eptopic heartbeat ,cardiovascular_arrhythmia
Arrhythmia ,cardiovascular_arrhythmia
heart paplpitations,cardiovascular_arrhythmia
Prolonged QT,cardiovascular_arrhythmia
Heart palpitations,cardiovascular_arrhythmia
rapid heart beat ,cardiovascular_arrhythmia
super ventricular tachicardia,cardiovascular_arrhythmia
Chronic Pain-Full Body,chronic_pain
teeth pain,chronic_pain
generalized tooth pain,chronic_pain
Chronical Pain Disorder,chronic_pain
generalised pain,chronic_pain
pain - 3,chronic_pain
pain and weakness,chronic_pain
Generalized body pain,chronic_pain
lower admoninal pain,chronic_pain
long term pain,chronic_pain
Myofascial pain syndrome,chronic_pain
Pain level 9-10,chronic_pain
Overall Pain Level,chronic_pain
Dental pain,chronic_pain
Pain level 0-4,chronic_pain
Centralised Pain Syndrome,chronic_pain
mayofascial pain syndrome,chronic_pain
chronic pain- Nerve pain ,chronic_pain
chronic nerve pain,chronic_pain
Pain level 5-8,chronic_pain
Pain condition,chronic_pain
Trap pain,chronic_pain
Central Pain Syndrome,chronic_pain
severe pain,chronic_pain
Intractable pain,chronic_pain
chronic hip pain,chronic_pain
chronic pain syndrome,chronic_pain
Chronic Pain,chronic_pain
burning pain,chronic_pain
global pain,chronic_pain
ruq pain,chronic_pain
chronic intractable pain,chronic_pain
whole body pain,chronic_pain
body pain and fatique,chronic_pain
Other Pain,chronic_pain
Pain overall,chronic_pain
Chronic Regional Pain Syndrome,chronic_pain
pain flares,chronic_pain
Undiagnosed Pain Issues,chronic_pain
mild pain,chronic_pain
"Pain, general",chronic_pain
Breakthrough pain,chronic_pain
SI Pain ,chronic_pain
full body pain,chronic_pain
Pain before Hydrotherapy,chronic_pain
Greater Trochanteric Pain Syndrome,chronic_pain
Chronic pain (undiagnosed),chronic_pain
dull pain,chronic_pain
Visceral Hyperalgesia,chronic_pain
Woke pain free,chronic_pain
New Chronic Issues,chronic_pain
pain hypesensitivity,chronic_pain
pain everywhere,chronic_pain
how much pain ,chronic_pain
do you feel pain that could impact training ,chronic_pain
Unknown pain/immune condition,chronic_pain
central pain syndrom,chronic_pain
general pain,chronic_pain
never pain,chronic_pain
centralized chronic pain,chronic_pain
widespread pain,chronic_pain
pain level,chronic_pain
Chronic Neck Pain,chronic_pain
extreme body pain,chronic_pain
Complex regional pain syndrome,chronic_pain
chronic pain all over,chronic_pain
painkillers,chronic_pain
Amplified muscularskeletal pain syndrome,chronic_pain
Pain,chronic_pain
Tooth pain,chronic_pain
chronic widespread pain,chronic_pain
chronic foot pain,chronic_pain
acute pain,chronic_pain
pain and tension,chronic_pain
pain other places,chronic_pain
pain mild,chronic_pain
chronic pain and fatigue,chronic_pain
pain all over,chronic_pain
Chronic Pain and Exhaustion,chronic_pain
trigger point pain,chronic_pain
genaralized pAin,chronic_pain
specific pain,chronic_pain
Chronic Generalized Pain,chronic_pain
Body pain,chronic_pain
idiopathic pain,chronic_pain
Amplified Pain Syndrome,chronic_pain
Chronic pain disorder ,chronic_pain
Generalized pain,chronic_pain
Dull aching pain ,chronic_pain
Woke in pain,chronic_pain
diffuse chronic pain syndrome ,chronic_pain
undiagnosed chronic pain,chronic_pain
pain all over at night ,chronic_pain
hear pain,chronic_pain
pain trigger point,chronic_pain
Phantom pain,chronic_pain
hyperalgesia,chronic_pain
general moderate pain,chronic_pain
All over pain,chronic_pain
Active Infiltrate in Lungs,copd
copd overlap syndrome,copd
cystic lung disease,copd
copd flare ups since 4:30am,copd
m.e. lung,copd
unidentified lung issues,copd
Pulmonary hypertension,copd
Pulmonary fibrosis,copd
pulmonary valve stynosis,copd
Right middle lobe lung disease,copd
Pulmonary atresia,copd
Breathing pr,copd
pulmonary sarcoidosis,copd
Lung issues,copd
pulmonary stenosis,copd
COPD,copd
"Spondylitis , crohns disease,copd",copd
Pulmonary Arterial Hypertension,copd
underdeveloped lung,copd
Interstitial lung disease,copd
Interstitual lung disease,copd
chronic respiratory,copd
depress,depression
suicidal/wanting to die,depression
emotional shut down,depression
Functional Neirological Disorder,depression
major depression,depression
very low mood,depression
depressive mood,depression
Sexual dysfunction,depression
Mood disorders,depression
recurrent depressive disorder,depression
Secondary Depression,depression
Unhappiness,depression
chronic stress disorder,depression
Postpartum depression,depression
Suicide and suicidal thoughts,depression
low motivation,depression
treatment resistant depression,depression
Depression etc,depression
depression (youper),depression
Serotonin syndrome,depression
depressed state,depression
Stress mood,depression
Depressie,depression
Low mood,depression
low dopamine / cravings,depression
major deppresive disorder,depression
Mood fatigue,depression
Low libido,depression
Dépression,depression
overall mood,depression
Overall Mental Health,depression
decreased mood,depression
Clinical depression,depression
low serotonin,depression
feel lonely,depression
major depressive disorder,depression
agitated depression,depression
miserable,depression
Mood,depression
good mood,depression
Depressed Mood,depression
moodiness,depression
depresion,depression
Depressionen ,depression
Seasonal Affective Disorder,depression
mood disorder depression,depression
high functioning depression,depression
mixed mood,depression
reactive depression,depression
Major Clinical Depression,depression
Energy/Mood,depression
anti depressant withdrawal,depression
Chronic Depression,depression
Seasonal affective disorder (SAD),depression
Depression,depression
narciscissitic affective disorder,depression
negative feelings,depression
Morning sadness,depression
depressed,depression
Persistent Depressive Disorder,depression
Suicidal,depression
Teen depression,depression
Bad Mood,depression
Personality disorders,depression
low mood swing,depression
Depression/Bipolar Disorder,depression
deppression,depression
mood changes,depression
Atypical depression,depression
depression and suicidal thr,depression
Distress ,depression
happiness,depression
mood swings,depression
“Up” Mood,depression
Itching ear (right),derm_allergic_pruritic
itching skin/scalp/rash,derm_allergic_pruritic
skin irritation,derm_allergic_pruritic
itchy hands,derm_allergic_pruritic
Itchy nose,derm_allergic_pruritic
itching both eyes,derm_allergic_pruritic
Jock itch,derm_allergic_pruritic
rash chest,derm_allergic_pruritic
Malar rash,derm_allergic_pruritic
itching left eye,derm_allergic_pruritic
bumps,derm_allergic_pruritic
itching in ears,derm_allergic_pruritic
atopy,derm_allergic_pruritic
itchy palms,derm_allergic_pruritic
crawling skin,derm_allergic_pruritic
"Sudden, intense itching",derm_allergic_pruritic
itching skin,derm_allergic_pruritic
Hand rash,derm_allergic_pruritic
LLE Rash,derm_allergic_pruritic
Diaper rash,derm_allergic_pruritic
chest rash,derm_allergic_pruritic
skin,derm_allergic_pruritic
skin sensitivity,derm_allergic_pruritic
Itching,derm_allergic_pruritic
Itchy skin (pruritus),derm_allergic_pruritic
